SQLDATE,Actor1Name,Actor2Name,QuadClass,GoldsteinScale,NumArticles,AvgTone,IsHumanitarianCrisis,sum,count,mean
2014-02-19,ADEN,BRITAIN,3,-6.5,3,-2.10325047801148,False,0,9,0.0
2014-02-19,YEMENI,LIBYA,1,1.9,2,-6.10274669379451,False,0,9,0.0
2014-02-19,LIBYA,YEMENI,1,2.8,2,-6.10274669379451,False,0,9,0.0
2014-02-19,YEMENI,LIBYA,1,1.9,1,-6.24360286591607,False,0,9,0.0
2014-02-19,,ARMY,1,8.0,10,-2.42290748898679,False,0,9,0.0
2014-02-19,LIBYA,YEMENI,1,2.8,1,-6.24360286591607,False,0,9,0.0
2014-02-19,CLERIC,LIBYA,1,2.8,2,-3.78117457763475,False,0,9,0.0
2014-02-19,INTELLIGENCE SERVICE,DANISH,1,0.0,2,-9.41176470588232,False,0,9,0.0
2014-02-19,INTELLIGENCE SERVICE,DANISH,1,0.0,6,-9.41176470588232,False,0,9,0.0
2014-02-20,YEMENI,LIBYA,1,1.9,1,-6.20549338758902,False,0,9,0.0
2014-02-20,,CONGRESS,1,2.8,10,2.35294117647059,False,0,9,0.0
2014-02-20,LIBYA,YEMENI,1,2.8,1,-6.20549338758902,False,0,9,0.0
2014-02-20,SANAA,GOVERNMENT,4,-10.0,10,-9.35114503816791,False,0,9,0.0
2014-02-20,SECURITY FORCE,GOVERNMENT,3,-2.0,10,-9.35114503816791,False,0,9,0.0
2014-02-20,CONGRESS,,1,1.9,10,2.35294117647059,False,0,9,0.0
2014-02-20,SETTLEMENT,,1,3.4,10,-1.72185430463576,False,0,9,0.0
2014-02-20,SANAA,GOVERNMENT,4,-10.0,10,-9.35114503816791,False,0,9,0.0
2014-02-20,ADEN,BRITAIN,3,-6.5,3,-2.10325047801148,False,0,9,0.0
2014-02-21,YEMEN,YEMEN,2,6.4,10,-3.25581395348837,False,0,4,0.0
2014-02-21,YEMEN,YEMEN,1,0.0,10,-3.25581395348837,False,0,4,0.0
2014-02-21,SANAA,,4,-5.0,8,-5.68475452196382,False,0,4,0.0
2014-02-21,GOVERNMENT,PROTESTER,3,-2.0,10,-4.28994082840237,False,0,4,0.0
2014-02-22,YEMENI,,1,3.0,6,-2.0952380952381,False,0,17,0.0
2014-02-22,YEMENI,YEMEN,1,3.0,4,-2.0952380952381,False,0,17,0.0
2014-02-22,SANAA,,4,-10.0,8,-5.88235294117647,False,0,17,0.0
2014-02-22,,SANAA,4,-10.0,8,-5.88235294117647,False,0,17,0.0
2014-02-22,PARLIAMENT,QATARI,1,0.0,5,-2.9126213592233,False,0,17,0.0
2014-02-22,YEMENI,,1,3.5,6,-2.0952380952381,False,0,17,0.0
2014-02-22,PARLIAMENT,QATARI,2,7.0,5,-2.9126213592233,False,0,17,0.0
2014-02-22,MILITARY,,1,3.0,5,-5.19323671497585,False,0,17,0.0
2014-02-22,YEMENI,,3,-6.5,3,-6.99588477366255,False,0,17,0.0
2014-02-22,YEMEN,YEMEN,2,6.4,10,-3.79746835443038,False,0,17,0.0
2014-02-22,AUTHORITIES,STUDENT,1,3.2,10,-1.12474437627812,False,0,17,0.0
2014-02-22,YEMEN,YEMEN,1,0.0,10,-3.79746835443038,False,0,17,0.0
2014-02-22,MILITARY,YEMEN,4,-10.0,5,-5.19323671497585,False,0,17,0.0
2014-02-22,THE UN,,4,-5.0,10,-3.9572192513369,False,0,17,0.0
2014-02-22,YEMENI,YEMEN,1,3.5,4,-2.0952380952381,False,0,17,0.0
2014-02-22,GOVERNMENT,,3,-2.0,10,-6.92375109553024,False,0,17,0.0
2014-02-22,SANAA,,4,-5.0,8,-5.88235294117647,False,0,17,0.0
2014-02-23,YEMEN,YEMEN,2,6.4,10,-3.65296803652968,False,1,4,0.25
2014-02-23,CHIEF OF STATE,MILITANT,2,7.0,20,-4.05982905982906,False,1,4,0.25
2014-02-23,YEMEN,YEMEN,1,0.0,10,-3.65296803652968,False,1,4,0.25
2014-02-23,YEMEN,,4,-9.0,4,-2.00729927007299,True,1,4,0.25
2014-02-24,,YEMEN,4,-10.0,8,-4.58015267175573,False,0,3,0.0
2014-02-24,GUNMEN,NAIROBI,4,-10.0,3,-3.24748040313549,False,0,3,0.0
